,Country,Region,Subregion,Location,State_Regi,Location_t,Project_na,Capacity__,Size,Capacity_1,Capacity_2,Technology,Thermal_de,Thermal_eq,Feedwater,Customer_t,Industry,Customer,Plant_stat,Plant_type,Plant_supp,Plant_su_1,Procuremen,Concession,Dev_consor,EPC_price,Water_pric,Last_updat,Latitude,Longitude,name
0,U.S. Virgin Islands,Americas,Latin America / Caribbean,"WAPA, Estate Richmond, Christiansted, St. Croix",,Land based,"WAPA, St. Croix",12490.0,L,3.3,2.75,RO (Reverse Osmosis),,,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Virgin Islands Water and Power Authority,Online,Stand-alone,Seven Seas Water Corporation,100.0,BOO,20.0,,,0.0,2015-03-20 14:14:25 UTC,17.7501334541,-64.7148263454,"WAPA, St."
1,U.S. Virgin Islands,Americas,Latin America / Caribbean,"WAPA, Randolph E. Harley Power Plant, Charlotte Amalie, St. Thomas",,Land based,"WAPA, St. Thomas",12490.0,L,3.3,2.75,RO (Reverse Osmosis),,,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Virgin Islands Water and Power Authority,Online,Stand-alone,Seven Seas Water Corporation,100.0,BOT,15.0,,"20,000,000 USD",0.87,2018-05-25 11:25:54 UTC,18.3318075855,-64.962297678,"WAPA, St."
2,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Thomas,,Land based,St. Thomas,10000.0,L,2.64,2.2,MSF (Multi-stage Flash),Flash,,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Virgin Islands Water and Power Authority,Offline (Decommissioned),Stand-alone,Envirogenics,100.0,EPC,0.0,,"19,690,000 USD",0.0,2012-06-27 03:32:43 UTC,18.3336694458,-64.8923950153,St. Thomas
3,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Thomas,,Land based,St. Thomas,9462.0,M,2.5,2.08,MED (Multi-effect Distillation),,HTE (Horizontal Tube Evaporator),Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Virgin Islands Water and Power Authority,Presumed Online,Stand-alone,,0.0,EPC,0.0,,"21,760,000 USD",0.0,2012-06-27 03:32:43 UTC,18.3336694458,-64.8923950153,St. Thomas
4,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Croix,Virgin Islands,Land based,St. Croix,8516.0,M,2.25,1.87,MED (Multi-effect Distillation),,VTE (Vertical Tube Evaporator),Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Virgin Islands Water and Power Authority,Presumed Offline,Stand-alone,Envirogenics,100.0,EPC,0.0,,"17,470,000 USD",0.0,2016-01-22 12:25:49 UTC,17.7058446,-64.858516,St. Croix
5,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Thomas,,Land based,St. Thomas,8516.0,M,2.25,1.87,MED (Multi-effect Distillation),,VTE (Vertical Tube Evaporator),Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Virgin Islands Water and Power Authority,Offline (Decommissioned),Stand-alone,Envirogenics,100.0,EPC,0.0,,"17,470,000 USD",0.0,2012-06-27 03:32:43 UTC,18.3336694458,-64.8923950153,St. Thomas
6,U.S. Virgin Islands,Americas,Latin America / Caribbean,"WAPA, Randolph E. Harley Power Plant, Charlotte Amalie, St. Thomas",,Land based,"WAPA, St. Thomas (Temporary)",7570.0,M,2.0,1.67,RO (Reverse Osmosis),,,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Virgin Islands Water and Power Authority,Online,Stand-alone,Seven Seas Water Corporation,100.0,BOO,0.0,,,0.0,2016-06-27 14:06:26 UTC,18.3318075855,-64.962297678,"WAPA, St."
7,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Croix,Virgin Islands,Land based,St. Croix,6000.0,M,1.59,1.32,MED (Multi-effect Distillation),TVC (Thermal Vapor Compression),HTE (Horizontal Tube Evaporator),Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),Refining/Chemicals,,Online,Stand-alone,IDE Technologies Ltd.,100.0,EPC,0.0,,"13,260,000 USD",0.0,2016-01-22 12:24:15 UTC,17.7058446,-64.858516,St. Croix
8,U.S. Virgin Islands,Americas,Latin America / Caribbean,"WAPA, Estate Richmond, Christiansted, St. Croix",,Land based,"WAPA, St. Croix (Temporary)",5678.0,M,1.5,1.25,RO (Reverse Osmosis),,,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Virgin Islands Water and Power Authority,Online,Stand-alone,Seven Seas Water Corporation,100.0,BOO,0.0,,,0.0,2015-03-20 14:15:44 UTC,17.7501334541,-64.7148263454,"WAPA, St."
9,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Croix,Virgin Islands,Land based,St. Croix,5678.0,M,1.5,1.25,MSF (Multi-stage Flash),Flash,,Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),Metals,,Presumed Offline,Stand-alone,"Evoqua Water Technologies, LLC",100.0,EPC,0.0,,"12,670,000 USD",0.0,2014-04-03 15:30:05 UTC,17.731247,-64.777088,St. Croix
10,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Thomas,,Land based,St. Thomas,5300.0,M,1.4,1.17,MED (Multi-effect Distillation),TVC (Thermal Vapor Compression),HTE (Horizontal Tube Evaporator),Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Virgin Islands Water and Power Authority,Presumed Online,Stand-alone,,0.0,EPC,0.0,,"11,970,000 USD",0.0,2012-06-27 03:32:41 UTC,18.3336694458,-64.8923950153,St. Thomas
11,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Croix,Virgin Islands,Land based,St. Croix,5000.0,M,1.32,1.1,MED (Multi-effect Distillation),TVC (Thermal Vapor Compression),HTE (Horizontal Tube Evaporator),Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),Oil & Gas,Hess Oil,Presumed Online,Stand-alone,,0.0,EPC,0.0,,"11,250,000 USD",0.0,2014-04-03 15:30:05 UTC,17.731247,-64.777088,St. Croix
12,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Croix,Virgin Islands,Land based,St. Croix,5000.0,M,1.32,1.1,MED (Multi-effect Distillation),TVC (Thermal Vapor Compression),HTE (Horizontal Tube Evaporator),Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Virgin Islands Water and Power Authority,Presumed Online,Stand-alone,,0.0,EPC,0.0,,"11,400,000 USD",0.0,2012-06-27 03:32:42 UTC,17.731247,-64.777088,St. Croix
13,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Croix,Virgin Islands,Land based,St. Croix,5000.0,M,1.32,1.1,MED (Multi-effect Distillation),TVC (Thermal Vapor Compression),HTE (Horizontal Tube Evaporator),Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),Food & Beverage,,Presumed Online,Stand-alone,IDE Technologies Ltd.,100.0,EPC,0.0,,"11,250,000 USD",0.0,2014-04-03 15:30:05 UTC,17.731247,-64.777088,St. Croix
14,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Croix,Virgin Islands,Land based,St. Croix,5000.0,M,1.32,1.1,MED (Multi-effect Distillation),TVC (Thermal Vapor Compression),HTE (Horizontal Tube Evaporator),Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),Oil & Gas,Hess Oil,Presumed Online,Stand-alone,,0.0,EPC,0.0,,"11,250,000 USD",0.0,2014-04-03 15:30:05 UTC,17.731247,-64.777088,St. Croix
15,U.S. Virgin Islands,Americas,Latin America / Caribbean,St. Croix,Virgin Islands,Land based,St. Croix,4920.0,M,1.3,1.08,MED (Multi-effect Distillation),TVC (Thermal Vapor Compression),HTE (Horizontal Tube Evaporator),Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Virgin Islands Water and Power Authority,Presumed Online,Stand-alone,,0.0,EPC,0.0,,"11,250,000 USD",0.0,2012-06-27 03:32:42 UTC,17.731247,-64.777088,St. Croix
