,OBJECTID,STATECODE,COUNTYCODE,GNIS_ID,ST_CNTY_CO,COUNTYNAME,LEGAL_NAME,CLASSCODE,LEGAL_DESC,CLASSCODE_,STATE_POST,GIS_ACRES,STATENAME,Count_,ID,comm_avg,res_avg
0,2,48,219,01383895,48219,Hockley,Hockley County,H1,County,An active county or equivalent feature,TX,581298.732,Texas,14,1,0.914323,0.914323
1,7,48,227,01383899,48227,Howard,Howard County,H1,County,An active county or equivalent feature,TX,578653.388,Texas,10,3,1.8721,1.8721
2,10,48,483,01384027,48483,Wheeler,Wheeler County,H1,County,An active county or equivalent feature,TX,586234.833,Texas,11,4,0.503688,0.503688
3,11,48,341,01383956,48341,Moore,Moore County,H1,County,An active county or equivalent feature,TX,581906.319,Texas,6,5,0.905985,0.905985
4,13,48,393,01383982,48393,Roberts,Roberts County,H1,County,An active county or equivalent feature,TX,591871.817,Texas,1,6,0.0,0.0
5,21,48,205,01383888,48205,Hartley,Hartley County,H1,County,An active county or equivalent feature,TX,936017.451,Texas,2,7,0.812329,0.812329
6,26,48,103,01383837,48103,Crane,Crane County,H1,County,An active county or equivalent feature,TX,503562.26,Texas,2,8,0.0,0.0
7,28,48,305,01383938,48305,Lynn,Lynn County,H1,County,An active county or equivalent feature,TX,572103.477,Texas,12,9,1.087,1.087
8,30,48,359,01383965,48359,Oldham,Oldham County,H1,County,An active county or equivalent feature,TX,961240.884,Texas,4,10,0.0,0.0
9,34,48,461,01384016,48461,Upton,Upton County,H1,County,An active county or equivalent feature,TX,792848.801,Texas,3,11,1.06247,1.06247
10,36,48,357,01383964,48357,Ochiltree,Ochiltree County,H1,County,An active county or equivalent feature,TX,587524.144,Texas,4,12,0.621597,0.621597
11,48,48,189,01383880,48189,Hale,Hale County,H1,County,An active county or equivalent feature,TX,643090.233,Texas,10,13,0.575147,0.575147
12,49,48,011,01383791,48011,Armstrong,Armstrong County,H1,County,An active county or equivalent feature,TX,585441.357,Texas,4,14,0.550138,0.550138
13,52,48,435,01384003,48435,Sutton,Sutton County,H1,County,An active county or equivalent feature,TX,931719.995,Texas,1,16,0.0,0.0
14,54,48,433,01384002,48433,Stonewall,Stonewall County,H1,County,An active county or equivalent feature,TX,589839.26,Texas,4,17,0.0,0.0
15,55,48,353,01383962,48353,Nolan,Nolan County,H1,County,An active county or equivalent feature,TX,584028.866,Texas,8,18,1.44604,1.44604
