,filename,Source,Location_I,City,State,Country,Latitude,Longitude,Time_Zone,Elevation
0,USA MN Hutchinson (awos) (TMY3).csv,TMY3,726569,Hutchinson (awos),MN,USA,44.867,-94.383,-6,323
1,USA UT Vernal (TMY3).csv,TMY3,725705,Vernal,UT,USA,40.433,-109.517,-7,1608
2,USA AR Flippin (awos) (TMY3).csv,TMY3,723447,Flippin (awos),AR,USA,36.3,-92.467,-6,350
3,USA OK Bartlesville Philli (TMY3).csv,TMY3,723565,Bartlesville Philli,OK,USA,36.767,-96.017,-6,218
4,USA IA Ottumwa Industrial Ap (TMY3).csv,TMY3,725465,Ottumwa Industrial Ap,IA,USA,41.1,-92.45,-6,257
5,USA FL Fort Lauderdale Hollywood Int (TMY3).csv,TMY3,722025,Fort Lauderdale Hollywood Int,FL,USA,26.067,-80.15,-5,3
6,USA SC Greenville Downtown Ap (TMY3).csv,TMY3,723119,Greenville Downtown Ap,SC,USA,34.85,-82.35,-5,319
7,USA GA Savannah Intl Ap (TMY3).csv,TMY3,722070,Savannah Intl Ap,GA,USA,32.117,-81.2,-5,14
8,USA SC Columbia Metro Arpt (TMY3).csv,TMY3,723100,Columbia Metro Arpt,SC,USA,33.95,-81.117,-5,65
9,USA AL Muscle Shoals Regional Ap (TMY3).csv,TMY3,723235,Muscle Shoals Regional Ap,AL,USA,34.75,-87.6,-6,165
10,USA PA Lancaster (TMY3).csv,TMY3,725116,Lancaster,PA,USA,40.117,-76.3,-5,126
11,USA FL Mayport Ns (TMY3).csv,TMY3,722066,Mayport Ns,FL,USA,30.4,-81.417,-5,5
12,USA VT Rutland State (TMY3).csv,TMY3,725165,Rutland State,VT,USA,43.517,-72.95,-5,246
13,USA TN Knoxville Mcghee Tyson Ap (TMY3).csv,TMY3,723260,Knoxville Mcghee Tyson Ap,TN,USA,35.817,-83.983,-5,293
14,USA GA Fort Benning Lawson (TMY3).csv,TMY3,722250,Fort Benning Lawson,GA,USA,32.35,-85.0,-6,88
15,USA MO Kansas City Downtown Ap (TMY3).csv,TMY3,724463,Kansas City Downtown Ap,MO,USA,39.117,-94.6,-6,226
16,USA CA Lompoc (awos) (TMY3).csv,TMY3,722895,Lompoc (awos),CA,USA,34.667,-120.467,-8,27
17,USA WA The Dalles Municipal Arpt (TMY3).csv,TMY3,726988,The Dalles Municipal Arpt,WA,USA,45.617,-121.15,-8,73
18,USA FL Nasa Shuttle Fclty (TMY3).csv,TMY3,747946,Nasa Shuttle Fclty,FL,USA,28.617,-80.717,-5,3
19,USA VA Dinwiddie Co (TMY3).csv,TMY3,724014,Dinwiddie Co,VA,USA,37.183,-77.517,-5,60
